,title,adress,bewertung,latlang
77,Raab Karcher,"Friedrichshafener Str. 44, Brandenburg an der Havel","4,2(29)","[52.4340382, 12.543024269384638]"
78,NORMA Filiale,"Dorfstraße 55, Brandenburg an der Havel","4,1(253)","[52.436256799999995, 12.628693449999995]"
79,Kernchen Feinkost GmbH Brandenburg,"Fohrder Landstraße 1, Brandenburg an der Havel","5,0(1)","[52.4280797, 12.5390586]"
80,Aral,"Potsdamer Str. 22, Brandenburg an der Havel","3,8(37)","[52.406015, 12.5793813]"
81,Hofladen,"Krahner Str. 7, Brandenburg an der Havel","4,0(2)","[52.367031850000004, 12.550876840625001]"
82,EDEKA Schmidt,"Potsdamer Str. 79, Brandenburg an der Havel","4,0(470)","[52.406015, 12.5793813]"
84,Tabac&Co,"Neustädtischer Markt 4, Brandenburg an der Havel","2,8(16)","[52.4090234, 12.564226243093094]"
85,BranneKaffe - Laden Brandenburg / Havel,"Hauptstraße 41, Brandenburg an der Havel","5,0(9)","[52.4104584, 12.5590561]"
87,Shell,"Potsdamer Str. 29, Brandenburg an der Havel","3,3(50) · €€","[52.4053867, 12.5771918]"
88,Weltladen Brandenburg an der Havel,"Hauptstraße 66, Brandenburg an der Havel","4,5(6)","[52.410993, 12.5574597]"
89,Shell,"Warschauer Str. 23, Brandenburg an der Havel","3,3(30) · €€","[52.4304854, 12.531129]"
90,Vom FASS Brandenburg,"Hauptstraße 30, Brandenburg an der Havel","4,8(32) · €€","[52.4098527, 12.5600625]"
92,NORMA Filiale,"Potsdamer Str. 46B, Brandenburg an der Havel","4,0(265)","[52.406015, 12.5793813]"
94,NP-Markt Golzow,"Brandenburger Str. 82c, Brandenburg an der Havel","3,9(227)","[52.3683782, 12.547627]"
95,deli am Markt,"Neuendorfer Str. 52, Brandenburg an der Havel","2,5(2)","[52.4064018, 12.53927975]"
96,Bäckerei Röhe,"Schlossallee 98, Brandenburg an der Havel","4,9(8) · €€","[52.4213508, 12.64795501589229]"
98,Marktschwärmer Brandenburg,"Rathenower Str. 8, Brandenburg an der Havel",Keine Rezensionen,"[52.4153256, 12.555408365232562]"
100,Bäckerei Röhe,"Steinstraße 46, Brandenburg an der Havel","4,5(149) · €","[52.4065043, 12.5595613]"
101,Bäckerei Röhe,"Gorrenberg 4-5, Brandenburg an der Havel","4,6(79) · €","[52.4086445, 12.5583327]"
102,Lidl,"Ernst-Thälmann-Straße 2, Brandenburg an der Havel","4,3(405)","[52.68070585, 13.176348599999997]"
103,Nah & Gut Stoll,"Karl-Marx-Straße 14, Brandenburg an der Havel","4,6(5)","[52.4161679, 12.5364626]"
105,Netto Marken-Discount,"Brandenburger Str. 25, Brandenburg an der Havel","3,7(341)","[52.3736717, 12.54668725]"
107,EDEKA Dorfmann,"Rathausstraße 2, Brandenburg an der Havel","4,5(614)","[52.3763592, 12.4226338]"
108,NP-Markt Premnitz,"Karl-Marx-Straße 14, Brandenburg an der Havel","4,1(94)","[52.4161679, 12.5364626]"
109,Beetzsee Center,"Brielower Landstraße 19, Brandenburg an der Havel","4,1(3.034)","[52.432033, 12.5484986]"
110,Netto Marken-Discount,"Am bhf 1, Brandenburg an der Havel","4,0(264)","[52.4788349, 12.5691972]"
113,Edeka Schmidt,"Kaltenhausen 82, Brandenburg an der Havel","4,1(458)","[52.4251327, 12.4478279]"
117,Manfred Koßmehl,"Berliner Str. 59, Brandenburg an der Havel","4,0(4)","[52.4089987, 12.604798]"
